store_id,uptime_last_week,downtime_last_week
1377947555969670930,128:46:19,00:02:45
1380805131866505470,66:31:20,01:00:16
1381580742167828406,46:40:36,26:45:32
1382383291885840428,25:23:04,109:48:35
1383578439551710799,108:44:40,12:01:29
1383941930819471104,40:35:14,18:51:47
1389947929028395698,01:03:29,15:21:39
1391396401919742563,70:40:50,03:00:07
1392032135093633717,94:01:51,20:20:53
1392590535896298689,100:16:31,05:31:48
1400775676226407194,19:02:16,55:51:43
1402111194016878576,36:26:34,06:10:07
1402815702703175099,45:40:56,29:38:23
1410627038559605288,02:52:18,48:32:07
1411173791163330171,58:19:41,18:19:21
1419325156847830913,48:34:56,08:42:33
1422556929701768169,106:44:12,00:00:00
1425862378696395585,06:15:20,40:00:18
1429876481304401879,23:07:32,86:06:52
1432224225825291419,106:35:13,01:01:17
1442963160772984486,120:44:15,32:07:45
1453363397560887447,80:28:15,27:59:33
1458444916277718536,109:03:24,01:03:22
1465244002967858929,39:17:22,76:16:04
1466694428342709082,81:47:43,42:48:22
1468766257942723822,83:36:14,20:57:54
1471734840230642496,79:56:49,09:09:06
1472475033685179186,78:34:29,28:14:55
1472982702437506956,46:28:38,17:59:30
1473951555364840163,88:33:18,19:08:34
1476954892081861537,49:33:18,00:00:00
1479710288891933797,119:47:51,06:01:45
1480940912351411639,44:35:45,00:00:00
1481604012716816208,13:59:54,112:32:01
1483489199535873591,47:42:37,00:56:02
1487491909769491937,117:35:03,08:58:00
1487592364035882156,106:43:39,00:00:00
1490581134855292474,43:03:42,21:00:22
1490582735887843514,88:20:40,18:13:42
1491501199778406229,32:03:27,77:20:17
1491699232228347317,28:10:10,23:57:20
1492199578433950281,03:58:00,24:04:17
1493014381792262137,12:47:41,14:51:52
1493281583746408386,100:01:37,07:50:51
1497748925258615256,128:42:58,09:38:06
1498841602648728779,128:34:41,01:59:58
1499848007077225326,22:40:12,32:32:06
1501417444674966120,76:02:58,60:00:41
1505046286008156215,05:00:08,53:04:01
1510385304919427114,44:18:20,16:42:08
1510703644379337776,05:03:36,47:00:17
1515989402848510686,03:06:44,54:21:49
1517232373106574528,38:42:56,13:53:36
1520166727615563164,53:33:48,24:58:21
1523495559941338850,38:03:02,81:39:53
1533903692306113107,110:12:36,00:02:30
1534985018139953529,83:53:25,08:53:27
1539178694823748928,12:56:28,24:55:22
1539561789446484556,01:05:59,45:45:36
1543598430741975771,28:26:12,69:29:10
1545115525542478807,23:51:21,17:04:37
1552244757529063191,103:25:28,17:07:20
1554055733179692714,128:40:58,04:42:12
1557002015567169903,22:00:03,98:38:39
1558584726932930394,95:24:05,27:32:32
1559656635070569811,106:36:09,05:04:44
1561347939055935395,33:59:01,43:24:58
1566377392801933480,11:36:44,25:46:58
1567644158030942526,52:11:56,53:38:18
1576123392838814414,22:07:24,30:25:49
1578533365624733457,23:34:59,47:04:55
1583553450451991338,92:27:07,11:14:34
1587305769577322109,44:02:26,16:05:27
1589998446802227389,32:24:00,04:00:31
1591022524509006107,92:38:20,13:02:51
1594332877322415241,31:12:03,98:05:08
1595824600016401323,05:03:03,101:50:39
1595924481482000817,109:01:26,18:12:52
1597582547706288646,14:03:30,98:21:22
1607729202353412665,88:33:18,19:08:34
1607751306924154965,07:09:05,103:38:35
1607907538626998405,30:51:29,97:18:41
1611330780821059464,129:05:05,00:58:27
1620964811819187207,77:44:40,09:09:46
1627278740887254065,06:08:29,51:29:03
1628861067874549986,29:20:46,74:22:40
1632345563568680930,35:28:31,78:33:03
1634983772484395625,108:54:30,01:02:54
1638463026912049828,108:57:35,01:02:52
1641423686195049498,06:03:18,65:33:06
1644457799808596600,51:49:43,00:50:47
1646137612973649751,04:59:38,48:36:39
1646941246782097605,32:09:32,08:28:12
1648124927077800949,05:03:02,65:17:34
1648448872498933098,51:51:34,23:56:07
1649129618314530272,109:01:52,08:03:54
1651564060735036147,88:20:40,18:13:42
1651926743556396112,71:08:43,01:00:22
1655712262444534169,111:13:33,10:03:20
1656672502891266572,110:11:46,01:00:48
1657914466179881241,128:45:58,01:04:21
1659994256008933582,53:59:14,01:03:14
1664265874450832999,25:53:01,13:36:47
1671195220811095917,128:47:46,02:26:45
1673369251688803542,129:00:55,00:00:10
1675281042882322699,109:14:01,00:01:46
1677569408483618837,92:45:46,09:50:19
1677573561139549330,132:44:23,00:06:42
1682862379112195489,17:28:22,00:00:00
1686208663804756495,25:10:34,19:35:30
1686654622075380692,108:56:12,00:59:15
1689097610247834156,81:32:11,02:06:20
1693259439287784552,115:51:54,22:52:24
1699118650131377389,44:13:34,06:08:03
1700016429582019253,13:59:35,112:31:50
1704502456927455373,31:22:05,80:05:15
1707756001128342547,07:05:24,69:59:47
1708689034742614019,93:51:02,45:06:47
1710069523770191433,26:55:51,25:10:05
1710361405993519136,106:42:13,00:00:00
